vtkOriginalIndices,NodeType,Points:0,Points:1,Points:2,VertexIdentifier,__vtkIsSelected__
0,0,3.74348e-09,3.74348e-09,0,89973,0
1,3,3.74348e-09,1.10118,0,63915,0
2,0,3.0882e-07,3.0882e-07,0,34,0
3,1,3.0882e-07,0.0148116,0,55422,0
4,0,3.81098e-07,3.81098e-07,0,157,0
5,1,3.81098e-07,2.03621e-05,0,96,0
6,2,1.68835e-06,1.68835e-06,0,79799,0
7,3,1.68835e-06,2.21675e-06,0,85199,0
8,0,1.07371e-05,1.07371e-05,0,32400,0
9,1,1.07371e-05,1.47797e-05,0,15006,0
10,0,1.11515e-05,1.11515e-05,0,19800,0
11,1,1.11515e-05,1.46044e-05,0,26100,0
12,0,1.24722e-05,1.24722e-05,0,89779,0
13,1,1.24722e-05,0.090035,0,89862,0
14,2,1.47797e-05,1.47797e-05,0,15006,0
15,3,1.47797e-05,0.000343452,0,0,0
16,0,8.34216e-05,8.34216e-05,0,35885,0
17,1,8.34216e-05,0.000915194,0,22374,0
18,0,0.00717018,0.00717018,0,272,0
19,1,0.00717018,0.00918974,0,250,0
20,2,0.0148116,0.0148116,0,55422,0
21,3,0.0148116,0.999937,0,49177,0
22,2,0.131931,0.131931,0,55255,0
23,3,0.131931,1.01855,0,62559,0
24,2,0.17137,0.17137,0,38399,0
25,3,0.17137,0.955509,0,17950,0
26,2,0.259181,0.259181,0,55623,0
27,3,0.259181,0.986027,0,48392,0
28,2,0.287034,0.287034,0,36994,0
29,3,0.287034,0.887123,0,26196,0
30,2,0.528142,0.528142,0,17080,0
31,3,0.528142,0.854405,0,16499,0
32,2,0.774246,0.774246,0,70660,0
33,3,0.774246,0.92314,0,76962,0
34,2,1.04297,1.04297,0,68409,0
35,3,1.04297,1.08655,0,72904,0
